,id,label_1,label_2,label_3,label_4,label_5,label_6,count_6,count_5,count_4,count_3,count_2,count_1,average
53073,VirusShare_a7d02c16cbc5e9996eabfbe606225955,2,1,1,0,0,4,0,0,0,0,4,0,6.134
54360,VirusShare_4a7ce6e5ca8662540148f2b15ac1c868,2,0,1,0,1,4,0,0,0,0,4,0,6.134
54907,VirusShare_2d8122ccb63a5210ab77a94dc7f09e35,2,0,1,0,1,4,0,0,0,0,4,0,6.134
55925,VirusShare_3b8776b1677b749b4f6e7aa7f8180892,2,0,1,0,1,4,0,0,0,0,4,0,6.134
60731,VirusShare_a41926c5da1b993d088305bcbfd9401d,2,1,1,0,0,4,0,0,0,0,4,0,6.134
62414,VirusShare_0b01b676e3917d6ab289b7eb0f254e94,3,0,0,0,1,4,0,0,0,0,4,0,6.134
54884,VirusShare_5459a05d7c26450573705d09a349a21b,2,2,1,1,1,4,0,0,0,0,1,0,8.635
56260,VirusShare_07fd97e94b20d7dc75046b7ca9a3748a,3,1,2,0,1,4,0,0,0,0,1,0,8.568
73876,VirusShare_a06e01d509c425bd4e367239e04abd7d,3,0,1,1,2,4,0,0,0,0,1,0,8.367
74717,VirusShare_c48091eb5d06c37a44e366c044a4844b,3,1,1,1,1,4,0,0,0,0,1,0,8.367
37725,VirusShare_0622bd307683e4d3fa5fba8ff635fcc2,2,0,4,1,0,4,0,0,0,0,1,0,8.3
38011,VirusShare_74e1bb95f63856de88f5365064ecd029,2,0,2,1,2,4,0,0,0,0,1,0,8.3
38114,VirusShare_22fdd285d296ee8a7a01ca0c4a3641a7,3,0,1,1,2,4,0,0,0,0,1,0,8.3
38329,VirusShare_de5eaa733284862d4fb3f3fb98dd4ccd,2,0,2,1,2,4,0,0,0,0,1,0,8.3
72907,VirusShare_6a4d6576191934ae4ddba74bec4abaa5,2,0,2,2,1,4,0,0,0,0,1,0,8.3
73094,VirusShare_fd7ffe868f01ab88feac73fe5f6b6bef,2,1,2,1,1,4,0,0,0,0,1,0,8.3
73278,VirusShare_11f5ea6c582fa2726125c2991839aec9,2,0,2,1,2,4,0,0,0,0,1,0,8.3
73817,VirusShare_b8cb127356a07c59134b92cf4e7067f6,3,0,1,1,2,4,0,0,0,0,1,0,8.3
74223,VirusShare_9e0a09006155816a1509c4635993ff74,1,2,2,1,1,4,0,0,0,0,1,0,8.3
74376,VirusShare_70395eba4c15da93cb7b537d327a1e3b,1,2,2,1,1,4,0,0,0,0,1,0,8.3
74379,VirusShare_c3a9bb7ec223cfd4f0a871bece3df12e,2,0,2,1,2,4,0,0,0,0,1,0,8.3
52198,VirusShare_88e461848fe6a60f5be35b0277152c99,3,1,0,0,1,4,0,0,0,0,1,0,7.001
64285,VirusShare_c578ee1b9906dcb1591bbe93025977b5,2,0,1,1,1,4,0,0,0,0,1,0,7.001
63020,VirusShare_f52ac715548ae6ccef51ffdfe911d34f,3,0,1,0,1,4,0,0,0,0,1,0,6.901
64812,VirusShare_6fd2c69a972eba06cd3fad91a65b6ea5,3,1,1,0,0,4,0,0,0,0,1,0,6.901
33819,VirusShare_cd93fa9d396ba9496b3609c29c8771ff,1,2,1,1,0,4,0,0,0,0,1,0,6.867000000000001
34306,VirusShare_da4195daa5e302b80b49a1b69138e36e,2,1,1,1,0,4,0,0,0,0,1,0,6.867000000000001
35318,VirusShare_874e19a62d2abe6b337b995009fcca2b,2,0,1,1,1,4,0,0,0,0,1,0,6.867000000000001
36358,VirusShare_2da302fe4d971edd02efc9e4dc3f375d,3,0,0,1,1,4,0,0,0,0,1,0,6.867000000000001
36366,VirusShare_058fe6574329fc0e8138667e6853b431,2,0,3,0,0,4,0,0,0,0,1,0,6.867000000000001
66812,VirusShare_8da5aebf3a2b8412956a9948b56daed7,3,0,1,0,1,4,0,0,0,0,1,0,6.867000000000001
66966,VirusShare_66e3e3cdc9dcf3c03a69ca90b0a7adba,2,0,1,0,2,4,0,0,0,0,1,0,6.867000000000001
67478,VirusShare_24c7e8006d1a333754bfb34c54334862,2,0,1,1,1,4,0,0,0,0,1,0,6.867000000000001
67884,VirusShare_bb81af9a63e08b8b150a3ca2f175b697,2,0,1,1,1,4,0,0,0,0,1,0,6.867000000000001
68941,VirusShare_a04c9686d1edc87bb35cfda9a1e57d30,2,0,1,0,2,4,0,0,0,0,1,0,6.867000000000001
69189,VirusShare_26263f18affdb6430f810734d7a0b2e0,2,0,1,1,1,4,0,0,0,0,1,0,6.867000000000001
69957,VirusShare_7735b5bfae67ab31b69fd46b0e3b51d5,2,0,1,1,1,4,0,0,0,0,1,0,6.867000000000001
72110,VirusShare_817fd996c7c7ffec7d86647578e3b15a,2,1,1,1,0,4,0,0,0,0,1,0,6.867000000000001
72444,VirusShare_6afcac19296d59221a1bda853b43fd5a,2,0,1,0,2,4,0,0,0,0,1,0,6.867000000000001
15443,VirusShare_63ebfd29acbc6bd81cc1798849eb9ba8,2,0,2,0,1,4,0,0,0,0,1,0,6.834
15615,VirusShare_486547e5b4b4a5eb561975d4e2be251b,2,0,2,0,1,4,0,0,0,0,1,0,6.834
15717,VirusShare_d00fb06b3a8a519597c777b986d4d0ef,2,0,2,0,1,4,0,0,0,0,1,0,6.834
15781,VirusShare_a9e11383f2ad6a0b890a71dd83908b52,3,0,1,0,1,4,0,0,0,0,1,0,6.834
16103,VirusShare_3d1db225fddff1f35eef3b77c4d3c473,2,0,2,0,1,4,0,0,0,0,1,0,6.834
16164,VirusShare_859f8b6935ec02a2a56e71a082fee19c,2,0,2,0,1,4,0,0,0,0,1,0,6.834
16382,VirusShare_1110e9648e95b396db17abfe5b084212,2,0,2,0,1,4,0,0,0,0,1,0,6.834
16648,VirusShare_4f8810edd1ac8601da3fc6b2fcd675a4,2,0,2,0,1,4,0,0,0,0,1,0,6.834
17017,VirusShare_ce5b52ac00fd8966e0cc523820e727ef,2,0,2,0,1,4,0,0,0,0,1,0,6.834
17349,VirusShare_5eb50fb53027580f42ae593e2e1f3aec,2,0,2,0,1,4,0,0,0,0,1,0,6.834
18868,VirusShare_235c06559cb21e0659fb77b7bf9b8aef,2,0,2,0,1,4,0,0,0,0,1,0,6.834
19342,VirusShare_2d393279af9668db07014081582f37eb,2,0,2,0,1,4,0,0,0,0,1,0,6.834
19417,VirusShare_b44dcad83550709bbe6efbd3be7c2118,3,0,1,0,1,4,0,0,0,0,1,0,6.834
19505,VirusShare_3735bb1f88366a8f12bebb53339f314d,2,0,2,0,1,4,0,0,0,0,1,0,6.834
20253,VirusShare_7ef854fe46132b851e756a1ac1d22005,2,0,2,0,1,4,0,0,0,0,1,0,6.834
20257,VirusShare_18915a49c84817d108d504aee62fe2e8,2,0,2,0,1,4,0,0,0,0,1,0,6.834
20287,VirusShare_a4a0352c59dbae690fe8074931e9d38f,3,0,1,0,1,4,0,0,0,0,1,0,6.834
20455,VirusShare_948d4f9a26046083350cef5e152d8511,3,0,1,0,1,4,0,0,0,0,1,0,6.834
20978,VirusShare_0f69d7e5440b7d824edf4385ad51411b,3,0,2,0,0,4,0,0,0,0,1,0,6.834
21132,VirusShare_bafced745861503c481e3c1aafb22f8d,3,0,1,0,1,4,0,0,0,0,1,0,6.834
21569,VirusShare_aefa45e4672e37fe477822b1ab2c02e3,2,0,2,0,1,4,0,0,0,0,1,0,6.834
21833,VirusShare_affbac5089b497f67ef54d296b8c2daf,2,0,2,0,1,4,0,0,0,0,1,0,6.834
22102,VirusShare_9d277313c29448d3d402af5b3eb9b619,3,0,1,0,1,4,0,0,0,0,1,0,6.834
22216,VirusShare_aad5e6206a8153881b91106edf2cd0dd,2,0,2,0,1,4,0,0,0,0,1,0,6.834
23229,VirusShare_3a450322f4755423546b06b7dbf361e1,2,0,2,0,1,4,0,0,0,0,1,0,6.834
23396,VirusShare_ef69814d6d98699a4e4e2d6dca1a6744,3,0,1,0,1,4,0,0,0,0,1,0,6.834
24445,VirusShare_8d37aeefe8b91ec8b5d5065f1c61f91d,2,0,2,0,1,4,0,0,0,0,1,0,6.834
24723,VirusShare_218c09749ba9517dc6f13cc5bb4a5e74,2,0,2,0,1,4,0,0,0,0,1,0,6.834
25329,VirusShare_26bd5c1585999fb402b84a27421b26b1,2,0,2,0,1,4,0,0,0,0,1,0,6.834
25871,VirusShare_0a6b15b7e657b8b14e17b6fea76c1616,3,0,1,0,1,4,0,0,0,0,1,0,6.834
25956,VirusShare_18fcae76342089bb73fd5382a087a1d2,2,0,2,0,1,4,0,0,0,0,1,0,6.834
26251,VirusShare_afadd23069665b4c8aea32999f55dfef,2,0,2,0,1,4,0,0,0,0,1,0,6.834
26256,VirusShare_65e88170c03ae418a7b2c497ca48ab31,3,0,1,0,1,4,0,0,0,0,1,0,6.834
26313,VirusShare_785ea9533815c619b2a8d4961d85548d,2,0,2,0,1,4,0,0,0,0,1,0,6.834
26402,VirusShare_4b3430de1af4b95c4ca4ca8281dda71f,2,0,2,0,1,4,0,0,0,0,1,0,6.834
26501,VirusShare_12340588cff3b7790de5dd637a630215,2,0,2,0,1,4,0,0,0,0,1,0,6.834
26530,VirusShare_5e06d1276346f048996793490570684e,2,0,2,0,1,4,0,0,0,0,1,0,6.834
26673,VirusShare_d35741457a8f286bef48751443135445,3,0,1,0,1,4,0,0,0,0,1,0,6.834
26857,VirusShare_d3f89c0d15eaa1a78370e1050dc9a632,3,0,1,0,1,4,0,0,0,0,1,0,6.834
27022,VirusShare_1cac5f32f40505f1026156971695b9a1,2,0,2,0,1,4,0,0,0,0,1,0,6.834
27110,VirusShare_0ff054050f6ff2cbbd68dabb1f462752,2,0,2,0,1,4,0,0,0,0,1,0,6.834
27516,VirusShare_8ceadc2ae9a4f0e8adc0a1c60192cdec,2,0,2,0,1,4,0,0,0,0,1,0,6.834
27558,VirusShare_6703b7db7913688610f383922f49bf9c,2,0,2,0,1,4,0,0,0,0,1,0,6.834
27863,VirusShare_dba5eb97d315ed44614f21f0241130ab,3,0,1,0,1,4,0,0,0,0,1,0,6.834
27900,VirusShare_ec873efda324b597fe7f9bb35c16691a,2,0,2,0,1,4,0,0,0,0,1,0,6.834
29269,VirusShare_bbfdf9e8eb1e16c47fb6dcfab47a1055,2,0,2,0,1,4,0,0,0,0,1,0,6.834
29571,VirusShare_cae65a93681ef92528b63d3345ed9996,2,0,2,0,1,4,0,0,0,0,1,0,6.834
29710,VirusShare_ecc54e4e09d9e5d90172f744ce9884c1,2,0,2,0,1,4,0,0,0,0,1,0,6.834
29738,VirusShare_dcf16fb9924efea663e92fc1d3bd0e9e,2,0,2,0,1,4,0,0,0,0,1,0,6.834
30334,VirusShare_bf9515888f5a866f3c3044cfab65e4ff,3,0,1,0,1,4,0,0,0,0,1,0,6.834
53142,VirusShare_5dffe117da5a4a75d6ed4f13af6fd7c7,2,0,2,0,1,4,0,0,0,0,1,0,6.834
53645,VirusShare_6071c47fedffa2ed4ca523533e68ea7e,2,0,2,0,1,4,0,0,0,0,1,0,6.834
54049,VirusShare_725c0591d03afe11be3fddd5f7b29fbe,2,1,2,0,0,4,0,0,0,0,1,0,6.834
54729,VirusShare_56fd3d7ef2203c1c92a15ec1abb88c9b,2,0,2,0,1,4,0,0,0,0,1,0,6.834
57079,VirusShare_b6d6cb8c188a14ea194eb67e6caf0485,2,0,2,0,1,4,0,0,0,0,1,0,6.834
57596,VirusShare_d3f81d3e8ff9b66aef67cada9a200db0,3,1,1,0,0,4,0,0,0,0,1,0,6.834
59409,VirusShare_f5e01ce2f9ad5fb1a66f613aca2a6e57,2,0,2,0,1,4,0,0,0,0,1,0,6.834
59417,VirusShare_34cbde591f8ff6022e7d430d7fc73235,3,1,1,0,0,4,0,0,0,0,1,0,6.834
60318,VirusShare_1d343401969fb87514bef26b1d6b540c,2,0,2,0,1,4,0,0,0,0,1,0,6.834
60874,VirusShare_fffbfda4fb0de5c69a855130efefddc1,2,0,2,0,1,4,0,0,0,0,1,0,6.834
62333,VirusShare_b7e9019ccef7f41e680da1dd99983811,2,0,2,0,1,4,0,0,0,0,1,0,6.834
62854,VirusShare_334b1e5ba6ae6d898d22b08789effb96,2,0,2,0,1,4,0,0,0,0,1,0,6.834
63165,VirusShare_abf7a394cd0a10c0d4c615db8e616bef,2,0,2,0,1,4,0,0,0,0,1,0,6.834
63562,VirusShare_d9df68b8aad6e18a085cdda4d057257a,2,0,2,0,1,4,0,0,0,0,1,0,6.834
64727,VirusShare_f8162a3298b2ff9553f4ab2fd793c6c3,2,1,1,0,1,4,0,0,0,0,1,0,6.834
64741,VirusShare_321674f68ac596b6dfb761319085365d,2,1,2,0,0,4,0,0,0,0,1,0,6.834
65043,VirusShare_479c70c1fa033965dde0657b40ae3294,2,1,2,0,0,4,0,0,0,0,1,0,6.834
65405,VirusShare_54f3a09b908a7151eae7fd61b6b7c209,3,0,1,0,1,4,0,0,0,0,1,0,6.834
38248,VirusShare_3c829f5dfbc6a0aee05a482cde11810f,2,0,1,1,1,4,0,0,0,0,1,0,6.733
38280,VirusShare_bd775a91db9cdb7dcd23c94945ba02ca,2,0,1,1,1,4,0,0,0,0,1,0,6.733
38386,VirusShare_b1a977e3958aafa31519b73313b035ca,2,0,1,1,1,4,0,0,0,0,0,1,6.666
73171,VirusShare_19d5d1ac7d62f9cb6c56824c750b83e2,2,0,1,1,1,4,0,0,0,0,0,1,6.666
30653,VirusShare_15a2f66dd4b6ee1820b331996cbaff02,3,0,1,0,2,4,0,0,0,0,0,0,7.733999999999999
66485,VirusShare_a4f1c3cbb69be1b67c4f90bbddea6f75,1,2,1,1,1,4,0,0,0,0,0,0,7.733999999999999
69458,VirusShare_d1eed1909e9a8e88f847c92572839ec1,2,1,1,1,1,4,0,0,0,0,0,0,7.733999999999999
21445,VirusShare_00ee1136af327004399b2035a131fa70,4,0,1,0,1,4,0,0,0,0,0,0,7.7010000000000005
52405,VirusShare_d95d4dad1a8af0413fc4bb5d5e3a685c,3,1,1,0,1,4,0,0,0,0,0,0,7.7010000000000005
52848,VirusShare_e847aac9ec7279cfb5af708f3aa4a162,3,1,1,0,1,4,0,0,0,0,0,0,7.7010000000000005
53521,VirusShare_68bf69bc07144fc23ebf5af33d5449d3,2,1,2,0,1,4,0,0,0,0,0,0,7.7010000000000005
53666,VirusShare_1a5047a7632025bdcd8385ea4febe61a,2,0,2,1,1,4,0,0,0,0,0,0,7.7010000000000005
54105,VirusShare_a58a43433267c6b57427487e3e0a0dcd,3,1,1,0,1,4,0,0,0,0,0,0,7.7010000000000005
54218,VirusShare_7f82982679954e57b1acf01c0d0292aa,4,0,1,0,1,4,0,0,0,0,0,0,7.7010000000000005
57725,VirusShare_4098262e8a547ce9d2dfb816af80ef7a,2,0,2,1,1,4,0,0,0,0,0,0,7.7010000000000005
62036,VirusShare_d492112e91d385aed62f3b39fd8e02e0,3,0,2,0,1,4,0,0,0,0,0,0,7.7010000000000005
62086,VirusShare_bbd6941eb5a843601db8eb08b9908542,3,1,1,0,1,4,0,0,0,0,0,0,7.7010000000000005
64587,VirusShare_8b2733dc706da1e1ad1823266ceb7c06,2,0,2,1,1,4,0,0,0,0,0,0,7.7010000000000005
65560,VirusShare_b7bec341529aba4f3d0f49388e971926,3,1,1,0,1,4,0,0,0,0,0,0,7.7010000000000005
73550,VirusShare_68061a6f7da0ad462cfaab2ebc653198,2,0,0,2,2,4,0,0,0,0,0,0,7.7
33147,VirusShare_6dbe032f61ea2c0c4d682546ca422c2e,3,0,1,1,1,4,0,0,0,0,0,0,7.6339999999999995
36721,VirusShare_98925a6719e00315585e30c56576f2cc,3,0,1,0,2,4,0,0,0,0,0,0,7.6339999999999995
69394,VirusShare_05938334eb652e1a464f6aae9799aabb,3,1,1,0,1,4,0,0,0,0,0,0,7.6339999999999995
16308,VirusShare_4575cf7a48cebf02517df8b595a4d207,3,0,2,0,1,4,0,0,0,0,0,0,7.601
19280,VirusShare_ae6e7d509a3747ba54d6d3e0a9368255,3,0,2,0,1,4,0,0,0,0,0,0,7.601
22736,VirusShare_e1648a22a0154037b3953e401ea9acc1,3,0,2,0,1,4,0,0,0,0,0,0,7.601
23025,VirusShare_d0b0dac9a44a0355767dfd3ef7c6d17b,3,0,2,0,1,4,0,0,0,0,0,0,7.601
27773,VirusShare_9025696cc12427cef4690db1c3acef17,3,0,2,0,1,4,0,0,0,0,0,0,7.601
28011,VirusShare_f02d453ba3cbf24f842d67817fed9022,3,0,2,0,1,4,0,0,0,0,0,0,7.601
59730,VirusShare_48ce5062c4618413534437cd1ed00d42,3,0,2,0,1,4,0,0,0,0,0,0,7.601
63127,VirusShare_1adf66f45971199b5f279083fbb33077,3,0,2,0,1,4,0,0,0,0,0,0,7.601
73103,VirusShare_2be2b355369c024b6b85a712ae9f0b74,2,1,1,1,1,4,0,0,0,0,0,0,7.6
73111,VirusShare_51fdaa0a74842f1d874926a1e355b4e4,2,1,1,1,1,4,0,0,0,0,0,0,7.6
30724,VirusShare_53b18d857f6f5a90091fa86e6d31904f,2,0,2,0,2,4,0,0,0,0,0,0,7.566999999999998
30798,VirusShare_c58b2f4c927535bd11e16aa489c290c3,2,0,2,1,1,4,0,0,0,0,0,0,7.566999999999998
30827,VirusShare_35c75777dbb7d2280e13d7e855e55595,2,0,2,0,2,4,0,0,0,0,0,0,7.566999999999998
31189,VirusShare_a9bb97c8089d9dfee13c504007406e7b,2,0,2,1,1,4,0,0,0,0,0,0,7.566999999999998
31282,VirusShare_0a080625c4fb6e7041653bfdecf01177,2,0,2,1,1,4,0,0,0,0,0,0,7.566999999999998
31560,VirusShare_4c4e4465d7157336bcd8283ea83f21af,3,0,1,1,1,4,0,0,0,0,0,0,7.566999999999998
32282,VirusShare_e8d38feaf5c76577b0e5ebfad6d2ac37,2,0,2,1,1,4,0,0,0,0,0,0,7.566999999999998
32489,VirusShare_b5905cfa4342b34189e41f49c088ef69,2,0,2,1,1,4,0,0,0,0,0,0,7.566999999999998
32537,VirusShare_74d0a1926bb3b272deff54bef4b5f89b,2,0,2,1,1,4,0,0,0,0,0,0,7.566999999999998
32577,VirusShare_391cb412f5224ad0d1732c8df8b323ca,2,0,2,1,1,4,0,0,0,0,0,0,7.566999999999998
32837,VirusShare_01edca7549e02e9cc1a1c6ad98478a37,2,0,2,1,1,4,0,0,0,0,0,0,7.566999999999998
32946,VirusShare_6a2afdea243dadeb5be6909c47e412cf,2,0,2,1,1,4,0,0,0,0,0,0,7.566999999999998
32978,VirusShare_07eb887278691ad7051bd3dfe66c84b8,2,0,2,1,1,4,0,0,0,0,0,0,7.566999999999998
